review_id	perfume_id	content	tags
R_22075	P_08277	This fragrance offers a vibrant and fruity scent that lingers beautifully in the air, making it suitable for any occasion. It surpasses the expectations set by similar scents, providing a more enjoyable experience. The overall impression is one of versatility and ease of wear, appealing to those who appreciate a lively aroma.	Casual, Versatile, Unisex, Any Occasion, Daytime
R_22078	P_08277	Bond No. 9 offers a vibrant scent that opens with a burst of pineapple, bergamot, and spicy juniper, creating an energetic and uplifting mood. As the fragrance develops, it transitions to a prominent blackcurrant note, followed by subtle woody elements like cedarwood. The overall experience is likened to a fruity candy, evoking a sense of joy and positivity throughout its wear.	Casual, Joyful, Unisex, Spring, Everyday
R_22086	P_08281	Chelsea Flowers offers a romantic and joyful scent experience, reminiscent of a floral whirlwind with a soft and light aroma. The fragrance envelops the wearer in a sweet yet bright bouquet, highlighted by prominent hyacinth and softened by green moss. It embodies a casually elegant femininity, evoking emotions and lasting well throughout the day. This perfume is a successful choice for those seeking a harmonious and gentle floral essence.	Romantic, Casual Elegance, Feminine, Autumn, Everyday Wear
R_22101	P_08296	The fragrance Union Square is a refreshing blend that opens with cheerful lily of the valley and radiant freesia, complemented by invigorating citrus notes. This scent maintains a balance, avoiding an overly floral impression as birch adds a touch of green freshness. The soft, slightly sweet amber rounds out the experience, creating a delightful and motivating aroma that inspires outdoor activity.	Outdoor, Energetic, Spring, Casual, Daytime
R_22102	P_08296	This fragrance is a unique green-floral scent that balances cool and warm elements, evoking a lively and fresh energy. It features lily of the valley and blue freesia, complemented by golden amber and sensual musk, creating a captivating and sparkling experience. The perfume is unisex, offering a fresh and clean vibe that surprises with its plant-like accords and birch wood nuances.	Unisex, Lively, Fresh, Spring, Casual
R_22109	P_08309	This perfume offers a refreshing and unique scent experience, highlighted by the presence of freesia. It represents a departure from the typical offerings of the brand, showcasing creativity in its composition. Overall, it stands out as a distinctive fragrance.	Casual, Daytime, Unisex, Spring, Unique
R_22112	P_08309	The scent of Hudson Yard is a floral-green blend that evokes feelings of hope and rejuvenation. Its uplifting aromas, including lily of the valley and freesia, dispel negativity and bring warmth, while the orange blossom symbolizes sunlight. This fragrance creates a positive and welcoming atmosphere, providing comfort during difficult times.	Comfort, Uplifting, Gender-neutral, Spring, Everyday
R_22113	P_08309	This fragrance embodies pure, clean floral freshness with a slightly creamy-soapy quality. It evokes a sense of sweet innocence and offers endurance, decent projection, and sillage without being overwhelming. The leading notes of lily of the valley and freesia create an incredibly optimistic scent, making it perfect for spring.	Spring, Optimistic, Floral, Innocent, Casual
R_22117	P_08313	Initially overlooked, this scent reveals a mature sweetness with crystalline transparency that becomes appealing over time. It embodies a straightforward yet gentle character, with a unique take on lily of the valley, making it strong yet easily wearable for women. The fragrance carries a heavier, woody-dark undertone that adds depth, distinguishing it from light spring florals. Recently, it has become a daily favorite, showcasing its understated elegance.	Everyday, Mature, Elegant, Winter, Casual
R_22116	P_08313	Bond no 9 WEST BROADWAY presents a refreshing and complex scent characterized by a prominent spiciness, reminiscent of cardamom, alongside notes of lime and a woody base. The fragrance shifts between a more masculine and feminine vibe depending on the wearer's sensitivity to its components. The interplay of spice and citrus creates an intriguing olfactory experience, making it suitable for both men and women. Overall, it stands out within the Bond no 9 lineup for its unique blend, offering a lively alternative to typical woody fragrances.	Casual, Versatile, Unisex, Spring, Daytime
